Rouge,Vert,Bleu,Couleur_Texte,Lisible
148,47,187,noir,0
195,255,23,blanc,0
188,106,182,noir,0
123,246,188,blanc,0
176,152,182,blanc,0
1,142,63,blanc,0
88,7,252,noir,0
181,240,158,blanc,0
214,177,4,blanc,0
126,30,147,noir,0
48,88,232,noir,0
67,186,105,blanc,0
218,153,206,blanc,0
138,144,143,blanc,0
226,3,61,noir,0
109,84,64,noir,0
227,159,172,blanc,0
162,5,134,noir,0
36,179,247,blanc,0
27,112,75,noir,0
152,51,31,noir,0
111,141,246,blanc,0
209,44,176,noir,0
148,233,43,blanc,0
206,50,199,blanc,0
221,166,234,blanc,0
71,121,110,noir,0
208,203,214,blanc,0
89,191,148,blanc,0
238,30,131,blanc,0
218,223,45,blanc,0
28,87,9,noir,0
136,9,99,noir,0
84,72,193,noir,0
247,112,26,blanc,0
115,40,152,noir,0
213,13,137,noir,0
154,134,83,blanc,0
240,126,147,blanc,0
104,37,210,noir,0
73,66,164,noir,0
77,82,176,noir,0
32,34,120,noir,0
14,28,70,noir,0
44,237,117,blanc,0
66,70,116,noir,0
121,238,171,blanc,0
23,192,141,blanc,0
150,94,62,noir,0
171,40,255,noir,0
243,44,199,blanc,0
203,234,179,blanc,0
52,99,46,noir,0
204,167,251,blanc,0
146,153,192,blanc,0
218,46,164,blanc,0
255,159,182,blanc,0
33,105,192,noir,0
113,38,22,noir,0
215,255,252,blanc,0
51,179,83,blanc,0
128,26,58,noir,0
202,182,222,blanc,0
120,208,76,blanc,0
117,94,197,noir,0
54,15,158,noir,0
93,117,68,noir,0
207,254,237,blanc,0
209,100,112,noir,0
5,50,14,noir,0
216,6,30,noir,0
193,195,225,blanc,0
242,121,22,blanc,0
148,123,145,noir,0
213,75,71,noir,0
56,216,5,blanc,0
163,143,137,blanc,0
167,211,70,blanc,0
231,155,247,blanc,0
15,157,235,blanc,0
122,172,248,blanc,0
223,43,116,noir,0
217,249,182,blanc,0
13,67,107,noir,0
254,32,63,blanc,0
67,12,145,noir,0
194,48,17,noir,0
111,7,138,noir,0
93,217,123,blanc,0
192,196,22,blanc,0
155,33,119,noir,0
168,130,162,blanc,0
169,4,10,noir,0
129,178,123,blanc,0
101,132,255,blanc,0
73,2,218,noir,0
240,103,212,blanc,0
90,33,116,noir,0
186,253,118,blanc,0
70,180,137,blanc,0
149,255,56,blanc,0
217,5,120,noir,0
9,255,199,blanc,0
179,190,109,blanc,0
105,210,53,blanc,0
182,147,233,blanc,0
98,25,242,noir,0
227,180,16,blanc,0
168,58,224,noir,0
136,176,232,blanc,0
20,129,119,noir,0
44,157,89,blanc,0
119,27,128,noir,0
77,151,193,blanc,0
16,241,127,blanc,0
139,153,253,blanc,0
103,50,191,noir,0
91,25,205,noir,0
220,79,236,blanc,0
103,203,253,blanc,0
221,19,123,noir,0
168,196,104,blanc,0
227,242,126,blanc,0
240,146,225,blanc,0
205,201,251,blanc,0
110,170,211,blanc,0
50,113,79,noir,0
26,65,240,noir,0
48,245,72,blanc,0
196,254,140,blanc,0
11,39,243,noir,0
72,90,145,noir,0
115,191,91,blanc,0
8,67,253,noir,0
37,143,172,blanc,0
63,17,51,noir,0
247,18,107,blanc,0
230,143,128,blanc,0
163,139,227,blanc,0
242,62,178,blanc,0
146,39,69,noir,0
198,211,239,blanc,0
199,138,6,blanc,0
148,139,131,blanc,0
9,124,236,noir,0
239,54,233,blanc,0
178,21,12,noir,0
216,95,255,blanc,0
3,222,227,blanc,0
62,44,113,noir,0
212,123,46,noir,0
17,11,253,noir,0
2,213,193,blanc,0
204,56,27,noir,0
64,184,38,blanc,0
226,140,104,blanc,0
250,175,2,blanc,0
178,63,90,noir,0
33,206,141,blanc,0
189,84,127,noir,0
228,185,216,blanc,0
121,171,42,blanc,0
208,225,203,blanc,0
157,214,220,blanc,0
140,209,180,blanc,0
159,84,173,noir,0
68,220,4,blanc,0
236,137,138,blanc,0
234,2,124,noir,0
118,194,125,blanc,0
86,250,45,blanc,0
240,200,124,blanc,0
94,4,225,noir,0
192,233,8,blanc,0
85,220,95,blanc,0
250,84,91,blanc,0
35,105,28,noir,0
211,0,84,noir,0
222,36,163,blanc,0
125,71,209,noir,0
209,250,140,blanc,0
107,195,66,blanc,0
102,176,228,blanc,0
101,191,33,blanc,0
164,196,97,blanc,0
62,35,239,noir,0
69,97,251,noir,0
84,254,238,blanc,0
124,237,38,blanc,0
132,111,99,noir,0
255,164,159,blanc,0
119,75,66,noir,0
161,158,195,blanc,0
248,129,172,blanc,0
38,41,97,noir,0
120,246,162,blanc,0
116,165,41,blanc,0
94,194,169,blanc,0
176,255,98,blanc,0
120,216,103,blanc,0
103,218,175,blanc,0
241,40,198,blanc,0
117,101,166,noir,0
71,212,174,blanc,0
194,103,116,noir,0
139,253,82,blanc,0
151,214,207,blanc,0
160,142,192,blanc,0
39,197,125,blanc,0
189,157,21,blanc,0
157,140,105,blanc,0
101,247,225,blanc,0
36,87,89,noir,0
198,36,160,noir,0
119,145,147,blanc,0
75,212,12,blanc,0
71,59,99,noir,0
131,76,101,noir,0
206,159,225,blanc,0
94,141,22,blanc,0
108,153,148,blanc,0
135,236,110,blanc,0
50,0,112,noir,0
79,146,79,blanc,0
147,59,185,noir,0
116,9,120,noir,0
182,115,9,noir,0
97,239,153,blanc,0
47,99,65,noir,0
38,213,182,blanc,0
111,223,44,blanc,0
191,199,168,blanc,0
72,212,241,blanc,0
123,246,14,blanc,0
197,5,248,blanc,0
143,8,113,noir,0
217,168,33,blanc,0
218,3,196,blanc,0
142,148,76,blanc,0
183,130,6,blanc,0
171,172,181,blanc,0
173,149,44,blanc,0
158,104,22,noir,0
151,102,169,noir,0
45,229,2,blanc,0
223,221,106,blanc,0
107,226,172,blanc,0
93,237,19,blanc,0
208,232,44,blanc,0
70,199,114,blanc,0
208,12,171,noir,0
232,249,178,blanc,0
48,53,182,noir,0
216,43,174,blanc,0
76,21,48,noir,0
191,227,85,blanc,0
152,130,5,blanc,0
222,252,46,blanc,0
33,169,132,blanc,0
242,148,108,blanc,0
134,186,3,blanc,0
8,238,98,blanc,0
65,130,20,noir,0
138,99,89,noir,0
36,206,55,blanc,0
96,176,126,blanc,0
132,52,57,noir,0
50,77,3,noir,0
168,169,68,blanc,0
82,9,31,noir,0
35,85,63,noir,0
170,2,156,noir,0
99,162,150,blanc,0
52,202,30,blanc,0
82,57,16,noir,0
74,237,239,blanc,0
174,44,93,noir,0
92,68,235,noir,0
124,106,237,noir,0
0,225,84,blanc,0
87,167,9,blanc,0
142,181,244,blanc,0
133,185,5,blanc,0
97,141,85,blanc,0
79,88,222,noir,0
36,0,88,noir,0
183,203,187,blanc,0
41,53,229,noir,0
108,159,177,blanc,0
109,98,47,noir,0
47,179,39,blanc,0
154,45,203,noir,0
8,169,150,blanc,0
213,241,135,blanc,0
242,185,209,blanc,0
225,131,85,blanc,0
138,190,106,blanc,0
86,216,84,blanc,0
132,90,201,noir,0
233,99,5,blanc,0
189,178,41,blanc,0
175,191,176,blanc,0
120,82,95,noir,0
79,195,238,blanc,0
211,227,113,blanc,0
48,113,139,noir,0
185,221,192,blanc,0
200,210,61,blanc,0
72,156,98,blanc,0
174,65,142,noir,0
120,111,241,noir,0
184,200,156,blanc,0
176,48,133,noir,0
91,34,103,noir,0
194,112,236,blanc,0
104,29,8,noir,0
172,200,169,blanc,0
8,222,213,blanc,0
136,208,188,blanc,0
128,252,150,blanc,0
254,218,112,blanc,0
234,194,241,blanc,0
164,193,72,blanc,0
43,179,208,blanc,0
190,122,57,noir,0
69,11,214,noir,0
219,47,69,noir,0
47,146,156,blanc,0
61,148,112,blanc,0
210,49,95,noir,0
26,163,31,blanc,0
40,196,91,blanc,0
161,86,51,noir,0
236,24,123,blanc,0
52,94,72,noir,0
201,201,182,blanc,0
222,72,219,blanc,0
21,56,196,noir,0
90,113,234,noir,0
229,103,183,blanc,0
76,109,154,noir,0
74,182,208,blanc,0
247,24,171,blanc,0
8,198,149,blanc,0
1,135,217,blanc,0
191,85,125,noir,0
166,23,51,noir,0
17,72,39,noir,0
63,95,168,noir,0
25,138,97,blanc,0
34,152,168,blanc,0
108,53,45,noir,0
144,99,73,noir,0
191,125,75,noir,0
43,27,42,noir,0
157,214,13,blanc,0
125,166,7,blanc,0
94,47,152,noir,0
3,35,237,noir,0
105,12,231,noir,0
90,56,25,noir,0
185,156,45,blanc,0
215,207,220,blanc,0
191,18,209,noir,0
108,247,98,blanc,0
142,208,247,blanc,0
202,15,253,blanc,0
247,40,57,blanc,0
171,40,51,noir,0
164,237,221,blanc,0
198,211,46,blanc,0
14,189,191,blanc,0
211,128,140,blanc,0
19,128,5,noir,0
97,203,85,blanc,0
