Rouge,Vert,Bleu,Couleur_Texte,Lisible
127,0,116,blanc,1
70,231,120,blanc,0
171,172,181,blanc,0
101,111,160,noir,0
139,237,245,blanc,0
87,91,69,blanc,1
83,121,217,noir,0
184,168,216,noir,1
159,80,82,noir,0
206,163,211,blanc,0
129,139,183,blanc,0
215,236,174,noir,1
115,164,222,blanc,0
44,81,133,noir,0
67,237,47,noir,1
26,126,12,blanc,1
186,253,118,blanc,0
120,248,236,blanc,0
110,223,18,blanc,0
167,125,189,blanc,1
80,82,157,blanc,1
93,117,68,noir,0
202,140,25,blanc,0
197,34,64,blanc,1
216,17,102,blanc,1
120,78,51,blanc,1
207,254,237,blanc,0
211,54,104,blanc,1
163,115,122,noir,0
249,151,183,noir,1
2,187,225,noir,1
216,95,255,blanc,0
136,132,142,noir,1
103,50,191,noir,0
230,225,26,noir,1
126,235,49,noir,1
222,11,139,blanc,1
242,121,22,blanc,0
107,195,66,blanc,0
140,171,98,blanc,0
192,66,1,blanc,1
187,164,147,blanc,0
90,249,28,noir,1
13,67,28,blanc,1
92,247,150,blanc,0
194,76,153,noir,0
128,26,58,noir,0
169,96,172,blanc,1
99,12,6,noir,0
195,255,23,blanc,0
117,102,242,blanc,1
123,246,188,blanc,0
42,122,59,blanc,1
47,20,20,blanc,1
11,110,95,blanc,1
137,211,156,blanc,0
251,8,21,blanc,0
67,242,196,blanc,0
97,100,23,blanc,1
166,5,40,noir,0
209,250,140,blanc,0
202,143,53,blanc,0
167,131,12,noir,1
156,212,130,blanc,0
216,250,169,noir,1
214,177,4,blanc,0
194,82,50,noir,0
44,61,165,noir,0
193,11,142,noir,0
109,158,102,noir,1
113,56,165,blanc,1
207,74,142,noir,0
229,218,55,noir,1
38,26,2,blanc,1
107,152,248,blanc,0
85,84,60,blanc,1
69,128,11,blanc,1
241,110,173,noir,1
246,215,133,noir,1
130,254,42,noir,1
134,67,28,blanc,1
147,189,144,blanc,0
124,68,154,blanc,1
210,109,80,noir,0
174,26,182,blanc,1
229,103,183,blanc,0
195,251,111,blanc,0
141,1,95,noir,0
135,237,149,blanc,0
117,94,197,noir,0
179,149,190,noir,1
76,54,20,blanc,1
142,208,247,blanc,0
17,127,194,blanc,1
133,75,4,noir,0
156,176,182,noir,1
53,98,19,noir,0
89,54,50,blanc,1
85,237,238,blanc,0
235,179,78,noir,1
59,95,199,blanc,1
214,214,170,noir,1
201,224,134,blanc,0
199,212,246,noir,1
185,56,81,blanc,1
47,129,142,blanc,1
46,245,27,noir,1
183,17,136,blanc,1
199,53,182,noir,0
112,120,253,blanc,1
47,70,99,noir,0
97,86,142,blanc,1
155,79,68,noir,0
202,15,253,blanc,0
11,39,243,noir,0
229,124,253,blanc,0
147,124,118,blanc,1
182,74,200,noir,0
120,238,22,blanc,0
70,199,114,blanc,0
13,248,247,noir,1
65,177,94,blanc,0
208,203,214,blanc,0
183,187,46,blanc,0
155,57,71,blanc,1
71,104,150,noir,0
115,191,91,blanc,0
63,95,168,noir,0
34,240,234,noir,1
72,142,63,blanc,0
172,123,166,noir,0
22,88,103,noir,0
233,99,5,blanc,0
29,78,209,noir,0
118,87,137,blanc,1
6,19,86,noir,0
212,21,103,blanc,1
172,131,64,noir,1
119,170,80,blanc,0
95,226,134,blanc,0
